shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
EB,0,49.4967605,-117.2938484
EB,1,49.4972417,-117.2934332
EB,2,49.4973849,-117.2933138
EB,3,49.4975602,-117.2931309
EB,4,49.4977007,-117.2929539
EB,5,49.497823,-117.2927766
EB,6,49.4978941,-117.2926798
EB,7,49.4979676,-117.2925607
EB,8,49.4981947,-117.2922233
EB,9,49.4983868,-117.2919323
EB,10,49.4986124,-117.2915713
EB,11,49.4987483,-117.2913159
EB,12,49.4988374,-117.2911371
EB,13,49.4992304,-117.2904131
EB,14,49.4993602,-117.2902442
EB,15,49.4995544,-117.2899353
EB,16,49.4996728,-117.2897111
EB,17,49.4997448,-117.2895473
EB,18,49.4998039,-117.289382
EB,19,49.4999054,-117.2890424
EB,20,49.500047,-117.2885639
EB,21,49.5001391,-117.2882562
EB,22,49.500207,-117.2880691
EB,23,49.5004145,-117.2876433
EB,24,49.50044,-117.287582
EB,25,49.5004848,-117.2874757
EB,26,49.5005047,-117.2873777
EB,27,49.5005223,-117.2872347
EB,28,49.5004941,-117.2870632
EB,29,49.5004418,-117.2869116
EB,30,49.5003321,-117.286728
EB,31,49.5002909,-117.2866107
EB,32,49.5002789,-117.2865374
EB,33,49.5002775,-117.2864506
EB,34,49.5003393,-117.2861534
EB,35,49.5004649,-117.2857354
EB,36,49.5005356,-117.2853946
EB,37,49.5005648,-117.2852556
EB,38,49.5006093,-117.2851631
EB,39,49.5007229,-117.285013
EB,40,49.5016804,-117.2837732
EB,41,49.5021042,-117.2834399
EB,42,49.503165,-117.2824824
EB,43,49.5040672,-117.2820365
EB,44,49.5051249,-117.281607
EB,45,49.5057086,-117.2812831
EB,46,49.5059738,-117.2811493
EB,47,49.5068013,-117.2805532
EB,48,49.5076639,-117.2799313
EB,49,49.5079443,-117.2799993
EB,50,49.5081089,-117.2800181
EB,51,49.5082369,-117.2798233
EB,52,49.5083375,-117.2797153
EB,53,49.5084792,-117.2797552
EB,54,49.5086118,-117.2799688
EB,55,49.5086362,-117.280065
EB,56,49.5085753,-117.2802692
EB,57,49.5084823,-117.2804288
EB,58,49.5084234,-117.2804539
EB,59,49.5083832,-117.2804711
EB,60,49.5082522,-117.2803913
EB,61,49.5081357,-117.2801814
EB,62,49.5080495,-117.2800791
EB,63,49.5079443,-117.2799993
WB,0,49.50757720273005,-117.27999360679195
WB,1,49.5068013,-117.2805532
WB,2,49.5059738,-117.2811493
WB,3,49.5057086,-117.2812831
WB,4,49.5051249,-117.281607
WB,5,49.5040672,-117.2820365
WB,6,49.503165,-117.2824824
WB,7,49.5021042,-117.2834399
WB,8,49.5016804,-117.2837732
WB,9,49.5007229,-117.285013
WB,10,49.5006093,-117.2851631
WB,11,49.5005648,-117.2852556
WB,12,49.5005356,-117.2853946
WB,13,49.5004649,-117.2857354
WB,14,49.5003393,-117.2861534
WB,15,49.5002775,-117.2864506
WB,16,49.5002789,-117.2865374
WB,17,49.5002909,-117.2866107
WB,18,49.5003321,-117.286728
WB,19,49.5004418,-117.2869116
WB,20,49.5004941,-117.2870632
WB,21,49.5005223,-117.2872347
WB,22,49.5005047,-117.2873777
WB,23,49.5004848,-117.2874757
WB,24,49.50044,-117.287582
WB,25,49.5004145,-117.2876433
WB,26,49.500207,-117.2880691
WB,27,49.5001391,-117.2882562
WB,28,49.500047,-117.2885639
WB,29,49.4999054,-117.2890424
WB,30,49.4998039,-117.289382
WB,31,49.4997448,-117.2895473
WB,32,49.4996728,-117.2897111
WB,33,49.4995544,-117.2899353
WB,34,49.4993602,-117.2902442
WB,35,49.4992304,-117.2904131
WB,36,49.4988374,-117.2911371
WB,37,49.4987483,-117.2913159
WB,38,49.4986124,-117.2915713
WB,39,49.4983868,-117.2919323
WB,40,49.4981947,-117.2922233
WB,41,49.4979676,-117.2925607
WB,42,49.4978941,-117.2926798
WB,43,49.497823,-117.2927766
WB,44,49.4977007,-117.2929539
WB,45,49.4975602,-117.2931309
WB,46,49.4973849,-117.2933138
WB,47,49.4972417,-117.2934332
WB,48,49.4971478,-117.2935671
WB,49,49.4971089,-117.293634
WB,50,49.497067,-117.2937455
WB,51,49.4970413,-117.2938912
WB,52,49.4970332,-117.2939672
WB,53,49.497025,-117.2940338
WB,54,49.4970077,-117.2941553
WB,55,49.4969715,-117.294244
WB,56,49.496923,-117.2942901
WB,57,49.4968779,-117.2943067
WB,58,49.4968268,-117.2943025
WB,59,49.4967829,-117.2942756
WB,60,49.4967408,-117.294233
WB,61,49.4967023,-117.2941284
WB,62,49.4966962,-117.2940555
WB,63,49.496701,-117.2939742
WB,64,49.4967237,-117.2939088
WB,65,49.4967605,-117.2938484
WB,66,49.4969002,-117.2937285
WB,67,49.4970777,-117.2935738
WB,68,49.4972417,-117.2934332
