trip_id,stop_sequence,stop_id,timepoint,arrival_time,departure_time
EB01,1,S6,1,11:10:00,11:10:00
EB01,2,S5,0,,
EB01,3,S4,0,,
EB01,4,S3,0,,
EB01,5,S2,0,,
EB01,6,S1,1,11:20:00,11:20:00
WB01,1,S1,1,11:20:00,11:30:00
WB01,2,S2,0,,
WB01,3,S3,0,,
WB01,4,S4,0,,
WB01,5,S5,0,,
WB01,6,S6,1,11:40:00,11:40:00
EB02,1,S6,1,11:40:00,11:40:00
EB02,2,S5,0,,
EB02,3,S4,0,,
EB02,4,S3,0,,
EB02,5,S2,0,,
EB02,6,S1,1,11:50:00,11:50:00
WB02,1,S1,1,11:50:00,12:00:00
WB02,2,S2,0,,
WB02,3,S3,0,,
WB02,4,S4,0,,
WB02,5,S5,0,,
WB02,6,S6,1,12:10:00,12:10:00
EB03,1,S6,1,12:10:00,12:10:00
EB03,2,S5,0,,
EB03,3,S4,0,,
EB03,4,S3,0,,
EB03,5,S2,0,,
EB03,6,S1,1,12:20:00,12:20:00
WB03,1,S1,1,12:20:00,12:30:00
WB03,2,S2,0,,
WB03,3,S3,0,,
WB03,4,S4,0,,
WB03,5,S5,0,,
WB03,6,S6,1,12:40:00,12:40:00
EB04,1,S6,1,12:40:00,12:40:00
EB04,2,S5,0,,
EB04,3,S4,0,,
EB04,4,S3,0,,
EB04,5,S2,0,,
EB04,6,S1,1,12:50:00,12:50:00
WB04,1,S1,1,12:50:00,13:00:00
WB04,2,S2,0,,
WB04,3,S3,0,,
WB04,4,S4,0,,
WB04,5,S5,0,,
WB04,6,S6,1,13:10:00,13:10:00
EB05,1,S6,1,13:10:00,13:10:00
EB05,2,S5,0,,
EB05,3,S4,0,,
EB05,4,S3,0,,
EB05,5,S2,0,,
EB05,6,S1,1,13:20:00,13:20:00
WB05,1,S1,1,13:20:00,13:30:00
WB05,2,S2,0,,
WB05,3,S3,0,,
WB05,4,S4,0,,
WB05,5,S5,0,,
WB05,6,S6,1,13:40:00,13:40:00
EB06,1,S6,1,13:40:00,13:40:00
EB06,2,S5,0,,
EB06,3,S4,0,,
EB06,4,S3,0,,
EB06,5,S2,0,,
EB06,6,S1,1,13:50:00,13:50:00
WB06,1,S1,1,13:50:00,14:00:00
WB06,2,S2,0,,
WB06,3,S3,0,,
WB06,4,S4,0,,
WB06,5,S5,0,,
WB06,6,S6,1,14:10:00,14:10:00
EB07,1,S6,1,14:10:00,14:10:00
EB07,2,S5,0,,
EB07,3,S4,0,,
EB07,4,S3,0,,
EB07,5,S2,0,,
EB07,6,S1,1,14:20:00,14:20:00
WB07,1,S1,1,14:20:00,14:30:00
WB07,2,S2,0,,
WB07,3,S3,0,,
WB07,4,S4,0,,
WB07,5,S5,0,,
WB07,6,S6,1,14:40:00,14:40:00
EB08,1,S6,1,14:40:00,14:40:00
EB08,2,S5,0,,
EB08,3,S4,0,,
EB08,4,S3,0,,
EB08,5,S2,0,,
EB08,6,S1,1,14:50:00,14:50:00
WB08,1,S1,1,14:50:00,15:00:00
WB08,2,S2,0,,
WB08,3,S3,0,,
WB08,4,S4,0,,
WB08,5,S5,0,,
WB08,6,S6,1,15:10:00,15:10:00
EB09,1,S6,1,15:10:00,15:10:00
EB09,2,S5,0,,
EB09,3,S4,0,,
EB09,4,S3,0,,
EB09,5,S2,0,,
EB09,6,S1,1,15:20:00,15:20:00
WB09,1,S1,1,15:20:00,15:30:00
WB09,2,S2,0,,
WB09,3,S3,0,,
WB09,4,S4,0,,
WB09,5,S5,0,,
WB09,6,S6,1,15:40:00,15:40:00
EB10,1,S6,1,15:40:00,15:40:00
EB10,2,S5,0,,
EB10,3,S4,0,,
EB10,4,S3,0,,
EB10,5,S2,0,,
EB10,6,S1,1,15:50:00,15:50:00
WB10,1,S1,1,15:50:00,16:00:00
WB10,2,S2,0,,
WB10,3,S3,0,,
WB10,4,S4,0,,
WB10,5,S5,0,,
WB10,6,S6,1,16:10:00,16:10:00
EB11,1,S6,1,16:10:00,16:10:00
EB11,2,S5,0,,
EB11,3,S4,0,,
EB11,4,S3,0,,
EB11,5,S2,0,,
EB11,6,S1,1,16:20:00,16:20:00
WB11,1,S1,1,16:20:00,16:30:00
WB11,2,S2,0,,
WB11,3,S3,0,,
WB11,4,S4,0,,
WB11,5,S5,0,,
WB11,6,S6,1,16:40:00,16:40:00
